Date,cost-per-transaction,fees-usd-per-transaction,hash-rate,mvrv,n-payments-per-block,n-transactions-per-block,n-unique-addresses,nvt,nvts,trade-volume
2022-12-02,50.56963598873279,1.7970028118076007,243772124.62779027,0.8458421714587486,5634.24,2173.8,686664.0,21.905627113831592,6.865819156106192,108607865.058
2022-12-03,56.97980100705803,1.5626329144821902,244296930.0629416,0.8424198423140157,5075.587786259542,1915.6564885496184,650867.0,22.963217055021538,6.955980149652304,89476520.03289999
2022-12-04,69.07939053405957,1.3087022123271919,250069789.8496062,0.8433334475832485,4056.5071428571428,1570.0714285714287,570337.0,26.756906233284116,7.002081545521172,43680876.3765
2022-12-05,58.52343239318926,1.3372459549850397,251119400.7199088,0.8477521109055316,4415.712328767123,1877.150684931507,654949.0,32.16395262304832,7.09733341226021,56116700.9067
2022-12-06,56.1088313628338,1.4568992874483886,252956219.74293846,0.8515566616397185,4681.148148148148,1943.9851851851852,637825.0,29.058380272787353,7.314325933609582,107058333.1258
2022-12-07,67.84350487317212,1.1366981915235674,251622832.88591626,0.8468363751612763,3789.4941860465115,1583.3023255813953,652144.0,22.273475440476307,7.420028921942932,69807219.0465
2022-12-08,67.98906569721038,0.9559336237410451,257239076.82300597,0.8427897347439065,3900.2814371257487,1579.868263473054,646079.0,21.433698572183772,7.582221445240979,70035442.5925
2022-12-09,62.85652250133099,0.8901115570848763,257703355.02661973,0.850086312939657,4466.526315789473,1747.8157894736842,662365.0,20.53923786003853,7.778301068352502,87723150.471
2022-12-10,69.95417969259474,0.8733076954920123,261867134.41282898,0.8582409923626034,4076.6493506493507,1569.2727272727273,617455.0,20.225337978553398,8.007456298122547,70550099.453
2022-12-11,73.06028656234027,0.6458571631079766,264942867.48152065,0.8573614210157497,3871.1020408163267,1481.5510204081634,570664.0,27.110165464707485,8.050225350659305,31080144.351000004
2022-12-12,58.73670634756587,0.8181105951081683,263954681.13425395,0.8556566321529799,4428.902097902098,1836.6853146853148,639530.0,29.926107739196713,8.073110010854494,39597815.9685
2022-12-13,63.7146298796895,0.8067818238167077,260419338.50566044,0.8526746080670206,4301.466666666666,1740.7515151515152,710573.0,27.82256061288811,8.241988826641691,84668640.7281
2022-12-14,60.85988818877932,0.9790727525741122,267503493.3650245,0.8788824559737629,4549.47972972973,1867.8445945945946,673994.0,17.266313282712655,8.503212306289711,174665411.7198
2022-12-15,56.47976720513382,1.2940693882622083,261667053.50978762,0.8925593570643988,5054.330935251798,1990.7410071942445,691792.0,15.037039262017462,8.818837561522127,165877795.188
2022-12-16,55.76881322580281,1.0988769905867284,254857873.6786779,0.8747872957956524,5341.392307692307,1955.2,675745.0,16.992950597824233,8.764801769769752,103193283.49460001
2022-12-17,55.63379423862645,1.1142003932754008,249507803.81137744,0.8550321130159259,4997.173913043478,1907.2463768115942,675840.0,17.83953532127643,8.630858994294892,131944320.42399998
2022-12-18,72.26760023978257,0.9117511193018858,245616843.90788618,0.8398135439971941,3853.6413793103447,1466.7103448275861,559608.0,19.152570850545086,8.55729784116416,47752027.375999995
2022-12-19,55.95606058650573,1.1634354591398162,245130473.91994977,0.839084215636667,4562.242647058823,1905.1176470588234,625817.0,26.17219438592273,8.660307808756064,34532073.43890001
2022-12-20,56.38474194375046,1.1297965709282916,243778056.23455927,0.8378456216137791,4662.878571428571,1920.6642857142858,653824.0,22.146053893778678,8.778086817033506,95453946.9136
2022-12-21,56.25891023721688,1.021489551763067,238811677.25203976,0.8411247489130121,4616.797202797203,1905.5314685314686,653064.0,18.245476806988844,8.95717622544742,99941753.0976
