Date,datetime,open,high,low,close,volume,name
9418,2024-03-31 22:00:00,70875.11,71083.3,70874.26,70985.03,582.59,BTC
9419,2024-03-31 23:00:00,70985.03,71389.78,70952.25,71312.91,769.25,BTC
9420,2024-04-01 00:00:00,71312.91,71325.61,70907.63,71156.76,686.87,BTC
9421,2024-04-01 01:00:00,71156.76,71191.54,70842.91,70858.87,699.94,BTC
9422,2024-04-01 02:00:00,70858.87,70920.75,70805.62,70895.84,650.36,BTC
9423,2024-04-01 03:00:00,70895.84,70903.83,70556.42,70609.65,347.24,BTC
9424,2024-04-01 04:00:00,70609.65,70673.41,70460.26,70470.49,396.4,BTC
9425,2024-04-01 05:00:00,70470.49,70536.26,69047.27,69204.72,2142.87,BTC
9426,2024-04-01 06:00:00,69204.72,69699.76,68936.25,69648.68,1714.89,BTC
9427,2024-04-01 07:00:00,69648.68,69812.61,69553.45,69631.28,806.05,BTC
9428,2024-04-01 08:00:00,69631.28,69632.51,69208.49,69430.88,1183.82,BTC
9429,2024-04-01 09:00:00,69430.88,69629.2,69429.8,69442.33,515.17,BTC
9430,2024-04-01 10:00:00,69442.33,69595.41,69321.29,69577.52,744.32,BTC
9431,2024-04-01 11:00:00,69577.52,69807.87,69479.59,69500.32,462.81,BTC
9432,2024-04-01 12:00:00,69500.32,69839.12,69449.58,69836.74,621.74,BTC
9433,2024-04-01 13:00:00,69836.74,70094.83,69667.97,69899.15,1782.24,BTC
9434,2024-04-01 14:00:00,69899.15,69956.73,68645.03,68912.55,2929.37,BTC
9435,2024-04-01 15:00:00,68912.55,69020.15,68200.84,68244.66,3011.75,BTC
9436,2024-04-01 16:00:00,68244.66,68783.96,68074.92,68591.42,1666.69,BTC
9437,2024-04-01 17:00:00,68591.42,68740.17,68213.79,68740.17,1277.95,BTC
9438,2024-04-01 18:00:00,68740.17,69002.6,68463.69,68947.04,1252.5,BTC
9439,2024-04-01 19:00:00,68947.04,69860.58,68914.83,69702.59,3198.39,BTC
9440,2024-04-01 20:00:00,69702.59,69822.2,69365.34,69764.52,923.07,BTC
9441,2024-04-01 21:00:00,69764.52,69910.15,69584.78,69613.95,638.85,BTC
9442,2024-04-01 22:00:00,69613.95,69884.3,69605.56,69738.72,864.02,BTC
9443,2024-04-01 23:00:00,69738.72,69888.84,69677.94,69686.37,374.88,BTC
9444,2024-04-02 00:00:00,69686.37,69703.1,69083.43,69380.65,682.85,BTC
9445,2024-04-02 01:00:00,69380.65,69621.09,69288.35,69418.82,570.76,BTC
9446,2024-04-02 02:00:00,69418.82,69440.73,66004.82,67074.86,6720.48,BTC
9447,2024-04-02 03:00:00,67074.86,67333.53,66617.29,66756.68,2592.91,BTC
9448,2024-04-02 04:00:00,66756.68,66979.19,66395.36,66643.81,1609.34,BTC
9449,2024-04-02 05:00:00,66643.81,66864.19,66170.31,66796.63,1676.39,BTC
9450,2024-04-02 06:00:00,66796.63,67170.1,66756.67,66918.47,806.06,BTC
9451,2024-04-02 07:00:00,66918.47,66938.32,66492.74,66501.77,1282.44,BTC
9452,2024-04-02 08:00:00,66501.77,66716.16,66164.49,66275.17,1218.16,BTC
9453,2024-04-02 09:00:00,66275.17,66549.2,65804.91,66105.49,2054.83,BTC
9454,2024-04-02 10:00:00,66105.49,66274.05,65482.28,65980.78,1856.88,BTC
9455,2024-04-02 11:00:00,65980.78,66032.02,65030.9,65611.09,3534.51,BTC
9456,2024-04-02 12:00:00,65611.09,65806.31,65128.43,65326.56,1866.95,BTC
9457,2024-04-02 13:00:00,65326.56,65417.92,64571.71,65213.8,3854.84,BTC
9458,2024-04-02 14:00:00,65213.8,66267.04,65165.05,65714.31,2851.08,BTC
9459,2024-04-02 15:00:00,65714.31,66138.11,64696.23,64878.06,2379.74,BTC
9460,2024-04-02 16:00:00,64878.06,65768.67,64609.19,65569.59,2615.08,BTC
9461,2024-04-02 17:00:00,65569.59,65691.26,65307.06,65625.33,1637.0,BTC
9462,2024-04-02 18:00:00,65625.33,66070.4,65407.41,65836.83,1602.64,BTC
9463,2024-04-02 19:00:00,65836.83,66235.39,65824.86,65967.42,2646.87,BTC
9464,2024-04-02 20:00:00,65967.42,66129.76,65547.98,65688.3,1709.21,BTC
9465,2024-04-02 21:00:00,65688.3,65841.47,65272.5,65712.36,1031.71,BTC
9466,2024-04-02 22:00:00,65712.36,65944.96,65597.33,65830.46,1071.2,BTC
9467,2024-04-02 23:00:00,65830.46,65845.03,65398.69,65466.81,1033.74,BTC
9468,2024-04-03 00:00:00,65466.81,65609.76,64514.87,65404.43,2175.98,BTC
9469,2024-04-03 01:00:00,65404.43,65926.19,65128.89,65820.28,1272.12,BTC
